N menor maior media primeiroElem ultimoElem
1 0.0000000 0.0000002 0.0000000 0.0000000 0.0000000
201 0.0000000 0.0000007 0.0000003 0.0000000 0.0000005
401 0.0000000 0.0000153 0.0000006 0.0000000 0.0000010
601 0.0000000 0.0000086 0.0000009 0.0000000 0.0000017
801 0.0000000 0.0000024 0.0000011 0.0000000 0.0000021
1001 0.0000000 0.0000644 0.0000018 0.0000000 0.0000029
1201 0.0000000 0.0000048 0.0000017 0.0000000 0.0000029
1401 0.0000000 0.0001397 0.0000023 0.0000000 0.0000038
1601 0.0000000 0.0000181 0.0000024 0.0000000 0.0000055
1801 0.0000000 0.0000088 0.0000027 0.0000000 0.0000050
2001 0.0000000 0.0000215 0.0000025 0.0000000 0.0000052
