N menor maior media primeiroElem ultimoElem
1 0.0000000 0.0000002 0.0000000 0.0000000 0.0000002
201 0.0000000 0.0000012 0.0000003 0.0000002 0.0000005
401 0.0000000 0.0000012 0.0000005 0.0000000 0.0000010
601 0.0000000 0.0000093 0.0000009 0.0000000 0.0000019
801 0.0000000 0.0000041 0.0000011 0.0000000 0.0000024
1001 0.0000000 0.0000031 0.0000014 0.0000000 0.0000029
1201 0.0000000 0.0001578 0.0000033 0.0000000 0.0000048
1401 0.0000000 0.0000327 0.0000032 0.0000002 0.0000072
1601 0.0000000 0.0000710 0.0000043 0.0000000 0.0000067
1801 0.0000000 0.0000758 0.0000043 0.0000000 0.0000076
2001 0.0000000 0.0000134 0.0000044 0.0000002 0.0000074
